3	0.008	70	0.194	0.186	37	1
269	0.747	327	0.908	0.161	300	2
588	1.633	636	1.767	0.134	610	3
891	2.475	938	2.606	0.131	911	4
1189	3.303	1191	3.308	0.005	1190	5
1193	3.314	1241	3.447	0.133	1215	6
1497	4.158	1551	4.308	0.15	1516	7
1799	4.997	1856	5.156	0.159	1830	8
2141	5.947	2200	6.111	0.164	2163	9
2447	6.797	2505	6.958	0.161	2478	10
2757	7.658	2805	7.792	0.134	2779	11
3059	8.497	3106	8.628	0.131	3079	12
3355	9.319	3357	9.325	0.006	3356	13
3359	9.331	3408	9.467	0.136	3382	14
3661	10.169	3715	10.319	0.15	3681	15
3960	11	4016	11.156	0.156	3986	16
4296	11.933	4355	12.097	0.164	4320	17
4613	12.814	4671	12.975	0.161	4645	18
4952	13.756	4999	13.886	0.13	4974	19
5270	14.639	5316	14.767	0.128	5289	20
5592	15.533	5641	15.669	0.136	5616	21
5907	16.408	5955	16.542	0.134	5926	22
6224	17.289	6227	17.297	0.008	6226	23
6229	17.303	6278	17.439	0.136	6252	24
6567	18.242	6622	18.394	0.152	6588	25
6878	19.106	6934	19.261	0.155	6907	26
7192	19.978	7250	20.139	0.161	7213	27
7486	20.794	7543	20.953	0.159	7516	28
7793	21.647	7841	21.781	0.134	7815	29
8112	22.533	8160	22.667	0.134	8133	30
8426	23.406	8428	23.411	0.005	8427	31
8430	23.417	8478	23.55	0.133	8453	32
8753	24.314	8805	24.458	0.144	8770	33
9067	25.186	9122	25.339	0.153	9096	34
9375	26.042	9431	26.197	0.155	9395	35
9667	26.853	9725	27.014	0.161	9698	36
9977	27.714	10024	27.844	0.13	9999	37
10293	28.592	10342	28.728	0.136	10314	38
10605	29.458	10607	29.464	0.006	10606	39
10609	29.469	10658	29.606	0.137	10632	40
10925	30.347	10977	30.492	0.145	10946	41
11230	31.194	11285	31.347	0.153	11259	42
11535	32.042	11590	32.194	0.152	11555	43
11808	32.8	11865	32.958	0.158	11838	44
12110	33.639	12157	33.769	0.13	12131	45
12410	34.472	12457	34.603	0.131	12430	46
12706	35.294	12760	35.444	0.15	12734	47
13015	36.153	13069	36.303	0.15	13036	48
13305	36.958	13361	37.114	0.156	13335	49
